0,2596,3886,2676,3955
0,3047,3885,3107,3943
0,1429,4006,1832,4081
0,2047,4006,2138,4078
0,2862,4128,3353,4212
0,3946,4127,4167,4210
0,1167,4252,1391,4335
0,2193,4262,2218,4315
0,3023,4276,3054,4314
0,1219,4380,1278,4437
0,1843,4377,1899,4436
0,2088,4379,2148,4437
0,3697,4372,3891,4456
0,2550,4864,3174,4948
0,1997,5440,2033,5497
0,3074,5423,3132,5480
0,1804,5543,2341,5619
0,2696,5539,3188,5624
0,1318,5665,1474,5741
0,2409,5661,2862,5746
0,3643,5661,3789,5745
0,3921,5655,4012,5726
0,1004,5785,1197,5869
1,1304,1308,1538,1391
1,2294,1313,2457,1374
1,1260,1700,1296,1757
1,1698,1677,2272,1753
1,2445,1679,2534,1750
1,989,1803,1239,1873
1,1262,1926,1321,1984
1,3838,1924,4087,1994
1,2940,2463,3085,2547
1,3509,2979,3545,3031
1,1426,3101,1463,3157
1,2613,3076,3111,3160
1,3989,3447,4049,3505
1,1854,3572,1937,3631
1,3635,3566,3819,3648
1,1262,3694,1302,3752
1,1587,3693,1669,3765
1,2416,3694,2499,3753
1,3082,3692,3122,3750
1,3325,3934,3481,4017
1,1194,5043,1385,5118
1,1563,5045,1626,5102
1,3360,5042,3451,5113
2,1716,1437,1858,1495
2,991,1556,1074,1614
2,2706,1803,2788,1862
2,1257,2778,1317,2838
2,4118,2798,4174,2854
2,993,2903,1062,2960
2,2763,2902,2823,2962
2,4120,2904,4152,2978
2,994,3025,1075,3083
2,2060,3020,2504,3104
2,3243,3025,3313,3083
2,1093,3147,1162,3204
2,1474,3146,1533,3206
2,2145,3147,2410,3218
2,1592,3268,1652,3327
2,3044,3262,3154,3328
2,3410,3271,3521,3328
2,1098,3388,1638,3472
2,3555,3393,3621,3469
2,1411,3516,1441,3591
2,2190,3510,2361,3594
2,1327,3632,2512,3718
2,3170,3638,3252,3697
2,1907,3754,2804,3839
2,2988,3761,3157,3837
2,3911,3762,3993,3820
2,1260,3882,1300,3941
2,1920,3882,2003,3954
2,1301,4032,1369,4088
2,2919,4033,2955,4089
2,3160,4010,3746,4093
2,991,4130,1584,4219
2,3919,4138,4001,4196
2,1651,4247,2766,4338
2,2925,4259,3160,4329
2,3365,4258,3422,4318
2,2090,4381,2149,4438
2,2775,4400,2811,4457
2,3032,4377,3553,4461
2,3805,4372,4090,4462
2,1775,4504,1834,4562
2,2108,4505,2167,4562
2,2894,4505,2973,4573
2,3351,4506,3410,4563
2,1242,4777,1280,4830
2,2530,4752,3721,4839
2,3298,5025,3406,5076
2,1403,5125,1443,5184
2,1577,5147,1614,5200
2,2021,5251,3143,5432
2,1235,5532,1276,5590
2,1316,5663,1398,5734
2,3336,5661,3720,5746
3,2042,1448,2154,1517
3,3061,1451,3139,1518
3,3277,1451,3358,1521
3,1313,1569,1387,1635
3,1266,2306,1340,2373
3,1894,2308,1976,2366
3,2481,2310,2542,2366
3,3373,2312,3447,2379
3,1912,2601,1953,2660
3,2575,2600,2991,2682
3,3437,2606,3550,2676
3,1457,3348,1539,3417
3,1749,3343,1933,3425
3,3088,3351,3171,3422
3,3382,3352,3463,3435
3,1367,3470,1448,3528
3,1671,3471,1922,3553
3,2524,3474,2606,3532
3,1334,3592,1395,3649
3,3668,3599,3727,3656
3,3915,3600,3995,3670
3,1515,3710,2192,3793
3,2334,3717,2376,3775
3,2996,3719,3036,3777
3,3612,3720,4025,3789
3,1422,3857,1496,3912
3,2650,3841,2711,3898
3,3353,3843,3719,3918
3,1106,3960,1188,4017
3,1738,3961,1798,4018
3,3782,3962,4174,4045
3,995,4070,1320,4159
3,1508,4082,1719,4142
3,1928,4082,1981,4140
3,2193,4086,2220,4141
3,2782,4075,3249,4145
3,3795,4089,3876,4147
3,994,4192,1332,4282
3,1915,4378,2126,4438
3,2352,4398,2749,4453
3,1503,4549,1672,4622
3,1190,4753,4117,4853
3,1443,5038,1511,5095
3,2545,5041,2613,5098
3,2752,5042,2821,5099
3,3381,5044,3583,5102
3,3922,5028,4150,5103
3,3945,5151,4172,5226
